date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:46	25473/25473	---M--	200	added ('OK')	image/jpeg	etag:%2259cb8e5a-6381%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_2_2017.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_2_2017.jpg	(from https://kai.id/information/document)
13:33:22	27569334/27569334	---M--	200	added ('OK')	application/pdf	etag:%225a5d7dda-1a4acb6%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_6_2017.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_6_2017.pdf	(from https://kai.id/information/document)
13:33:25	43180/43180	---M--	200	added ('OK')	image/jpeg	etag:%225a139279-a8ac%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_1_2017.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_1_2017.jpg	(from https://kai.id/information/document)
13:33:33	20696050/20696050	---M--	200	added ('OK')	application/pdf	etag:%2259cb8be7-13bcbf2%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_3_2017.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_3_2017.pdf	(from https://kai.id/information/document)
13:33:35	0/0	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Apr%202018%2006:33:25%20GMT	https://kai.id/information/announceload/	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/information/announceload/index.html	(from https://kai.id/information/news/announcement)
13:33:43	249213/249213	---M--	200	added ('OK')	image/jpeg	etag:%225ad09730-3cd7d%22	https://kai.id/static/konten/c5c40f83d3bfb1e1a656489f5c99fdc1.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/konten/c5c40f83d3bfb1e1a656489f5c99fdc1.jpg	(from https://kai.id/home)
13:33:53	353767/353767	---M--	200	added ('OK')	image/jpeg	etag:%225aa3aff3-565e7%22	https://kai.id/static/konten/65f0a28cbc6756e6803e181015a17fc9.jpg	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/konten/65f0a28cbc6756e6803e181015a17fc9.jpg	(from https://kai.id/home)
13:33:53	0/-1	---M--	307	error ('')			https://kai.id/app	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/app.16e.delayed	(from https://kai.id/home)
13:33:53	0/-1	---M--	302	error ('')			https://kai.id/corporate/page/20	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/corporate/page/20.16f.delayed	(from https://kai.id/home)
13:33:55	25263780/25263780	---M--	200	added ('OK')	application/pdf	etag:%2259cb8be7-1817ea4%22	https://kai.id/static/majalah-rel/majalah_rel_edisi_4_2017.pdf	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/static/majalah-rel/majalah_rel_edisi_4_2017.pdf	(from https://kai.id/information/document)
